iter	Passed	Remaining
0	0	78
1	1	72
2	2	68
3	2	64
4	3	64
5	4	63
6	4	62
7	5	62
8	6	61
9	6	60
10	7	59
11	8	59
12	8	58
13	9	57
14	10	56
15	10	56
16	11	55
17	12	54
18	12	54
19	13	53
20	13	52
21	14	51
22	15	51
23	15	50
24	16	49
25	17	49
26	17	48
27	18	48
28	19	47
29	20	46
30	20	46
31	21	45
32	22	44
33	22	44
34	23	43
35	24	43
36	25	42
37	25	41
38	26	41
39	27	40
40	27	40
41	28	38
42	28	38
43	29	37
44	30	36
45	30	36
46	31	35
47	32	34
48	32	34
49	33	33
50	34	32
51	34	32
52	35	31
53	35	30
54	36	29
55	37	29
56	37	28
57	38	27
58	39	27
59	39	26
60	40	25
61	41	25
62	41	24
63	42	23
64	43	23
65	43	22
66	44	21
67	45	21
68	45	20
69	46	19
70	47	19
71	47	18
72	48	17
73	49	17
74	49	16
75	50	15
76	51	15
77	51	14
78	52	13
79	53	13
80	53	12
81	54	11
82	55	11
83	55	10
84	56	9
85	57	9
86	57	8
87	58	7
88	58	7
89	59	6
90	60	5
91	61	5
92	61	4
93	62	3
94	63	3
95	63	2
96	64	1
97	65	1
98	65	0
99	66	0
